TID;OMRÅDE;CIVILSTAND;INDHOLD
2008Q1;All Denmark;Total;5475791
2008Q1;All Denmark;Never married;2552700
2008Q1;All Denmark;Married/separated;2176977
2008Q1;All Denmark;Widowed;317250
2008Q1;All Denmark;Divorced;428864
2008Q1;Region Hovedstaden;Total;1645825
2008Q1;Region Hovedstaden;Never married;810361
2008Q1;Region Hovedstaden;Married/separated;597034
2008Q1;Region Hovedstaden;Widowed;88644
2008Q1;Region Hovedstaden;Divorced;149786
2008Q1;Copenhagen;Total;509861
2008Q1;Copenhagen;Never married;309661
2008Q1;Copenhagen;Married/separated;128556
2008Q1;Copenhagen;Widowed;21555
2008Q1;Copenhagen;Divorced;50089
2008Q1;Frederiksberg;Total;93444
2008Q1;Frederiksberg;Never married;50734
2008Q1;Frederiksberg;Married/separated;27703
2008Q1;Frederiksberg;Widowed;5715
2008Q1;Frederiksberg;Divorced;9292
2008Q1;Dragør;Total;13261
2008Q1;Dragør;Never married;4895
2008Q1;Dragør;Married/separated;6555
2008Q1;Dragør;Widowed;861
2008Q1;Dragør;Divorced;950
2008Q1;Tårnby;Total;40016
2008Q1;Tårnby;Never married;16786
2008Q1;Tårnby;Married/separated;16903
2008Q1;Tårnby;Widowed;2685
2008Q1;Tårnby;Divorced;3642
2008Q1;Albertslund;Total;27602
2008Q1;Albertslund;Never married;13485
2008Q1;Albertslund;Married/separated;10669
2008Q1;Albertslund;Widowed;1048
2008Q1;Albertslund;Divorced;2400
2008Q1;Ballerup;Total;47116
2008Q1;Ballerup;Never married;20807
2008Q1;Ballerup;Married/separated;19353
2008Q1;Ballerup;Widowed;2608
2008Q1;Ballerup;Divorced;4348
2008Q1;Brøndby;Total;33831
2008Q1;Brøndby;Never married;14506
2008Q1;Brøndby;Married/separated;13871
2008Q1;Brøndby;Widowed;2119
2008Q1;Brøndby;Divorced;3335
2008Q1;Gentofte;Total;68913
2008Q1;Gentofte;Never married;31216
2008Q1;Gentofte;Married/separated;27320
2008Q1;Gentofte;Widowed;4502
2008Q1;Gentofte;Divorced;5875
2008Q1;Gladsaxe;Total;62562
2008Q1;Gladsaxe;Never married;29193
2008Q1;Gladsaxe;Married/separated;23758
2008Q1;Gladsaxe;Widowed;3851
2008Q1;Gladsaxe;Divorced;5760
2008Q1;Glostrup;Total;20673
2008Q1;Glostrup;Never married;9376
2008Q1;Glostrup;Married/separated;7858
2008Q1;Glostrup;Widowed;1433
2008Q1;Glostrup;Divorced;2006
2008Q1;Herlev;Total;26567
2008Q1;Herlev;Never married;11564
2008Q1;Herlev;Married/separated;10873
2008Q1;Herlev;Widowed;1705
2008Q1;Herlev;Divorced;2425
2008Q1;Hvidovre;Total;49380
2008Q1;Hvidovre;Never married;22525
2008Q1;Hvidovre;Married/separated;19311
2008Q1;Hvidovre;Widowed;2993
2008Q1;Hvidovre;Divorced;4551
2008Q1;Høje-Taastrup;Total;47158
